Turno,Scolastico,Non Scolastico,Sabato SCOL,Sabato Non SCOL,Domenica,Festivo Infrasettimanale,Natale,Agosto,Agosto Sabato,Agosto Centrali,AC Sabato,Scolastico,Non Scolastico,Sabato SCOL,Sabato Non SCOL,Domenica,Festivo Infrasettimanale,Natale
To0090,15:06 - 22:00,Non Disponibile,,,,,Riposo Festivo,,,,,Pinerolo - SKF[2+7] - Caselle,Caselle - Pinerolo - FCA[C],,,,,
To0100,15:01 - 23:46,14:56 - 23:56,,,,,Riposo Festivo,,,,,Ivrea - Olivetti - Perosa - SKF[4],Ivrea - Olivetti - SKF[11-4],,,,,
To0130,13:55 - 23:09,13:35 - 23:19,,,,,Riposo Festivo,,,,,Caselle-Ivrea-Caselle,Caselle - Ivrea - Caselle,,,,,
To0240,05:48 - 14:55,05:43 - 15:00,,,,,Riposo Festivo,,,,,Olivetti - Ivrea - Perosa - SKF[14],Olivetti - Ivrea - Perosa - SKF[14],Olivetti - Ivrea - Perosa - SKF[14],Olivetti - Ivrea - Perosa - SKF[14],Olivetti - Ivrea - Perosa - SKF[14],Olivetti - Ivrea - Perosa - SKF[14],
To0260,04:10 - 11:24,04:05 - 11:34,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0270,04:40 - 11:45,04:35- 11:55,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0276,,,04:40 - 11:15,04:35 - 11:25,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0277,,,,,04:50 - 11:55,04:55 - 11:50,7:25 - 14:15,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0280,05:10 - 12:15,05:05 - 12:55,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0286,,,05:10 - 11:45,05:05 - 11:55,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0287,,,,,05:35 - 12:55,05:40 - 12:50,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0290,05:40 - 12:45,05:50 - 13:55,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0295,05:55 - 13:50,Non Disponibile,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0297,,,,,06:20 - 13:25,06:25 - 13:20,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle
To0300,06:10 - 14:24,06:20 - 14:34,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0305,06:25 - 14:54,07:20 - 15:04,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0306,,,05:55 - 12:45,05:50 - 12:55,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0307,,,,,10:35 - 17:55,10:50 - 17:50,15:25 - 22:15,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle
To0310,11:15 - 18:15,11:20 - 18:25,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0317,,,,,11:20 - 19:25,11:25 - 19:20,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0320,12:25 - 20:55,12:35 - 19:55,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0327,,,,,11:35 - 18:55,11:50 - 18:50,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0330,12:50 - 19:45,12:35 - 21:05,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0336,,,10:45 - 17:45,10:35 - 17:55,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0337,,,,,16:35 - 23:55,16:45 - 23:50,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0340,15:40 - 00:09,15:35 - 00:19,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0346,,,11:45 - 18:45,11:35 - 18:55,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0347,,,,,17:35 - 01:10,17:45 - 01:00,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0350,16:10 - 00:45,16:05 - 00:55,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0357,,,,,15:20 - 22:25,15:25 - 22:20,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0360,16:40 - 01:15,16:40 - 01:15,,,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0376,,,16:45 - 23:45,16:35 - 23:55,,,Riposo Festivo,,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0380,,Non Disponibile,,,,,Riposo Festivo,17:45 - 00:45,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0386,,,17:45 - 01:00,17:35 - 01:10,,,Riposo Festivo,17:15 - 01:00,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0410,,Non Disponibile,,,,,Riposo Festivo,18:45 - 01:45,,,,Caselle,Caselle,Caselle,Caselle,Caselle,Caselle,
To0440,12:50 - 19:15,Non Disponibile,,,,,,,,,,Caselle/universita',Caselle,Caselle,Caselle,Caselle,Caselle,
To0600,04:10 - 10:51,04:00 - 10:50,,,06:35 - 15:29,06:40 - 15:19,Riposo Festivo,,,,,SKF[3-11] - Universita',SKF[3-11] - Caselle,SKF[3-11] - Caselle,SKF[3-11] - Caselle,Perosa - Pinerolo ,Perosa - Pinerolo ,
To0610,06:12 - 16:20,06:07 - 16:30,,,08:35 - 18:55,08:40 - 15:19,Riposo Festivo,,,,,SKF[6+8] -  SKF[4-3],SKF[6+8] -  SKF[4-3],,,Perosa - Pinerolo ,Perosa - Pinerolo ,
