Codice_Turno,Nome_Turno,Deposito,Giorno,Turno_Ora_Inizio,Turno_Ora_Fine,Corsa_Linea,Corsa_Da,Corsa_A,Corsa_Ora_Partenza,Corsa_Ora_Arrivo
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,BOBBIO PELLICE - TORRE PELLICE,,05:20,05:34
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,TORRE PELLICE - BOBBIO PELLICE,,05:40,06:00
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,BOBBIO PELLICE - TORRE PELLICE,,06:20,06:34
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,TORRE PELLICE - BOBBIO PELLICE,,07:25,07:42
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,BOBBIO PELLICE - TORRE PELLICE,,08:15,08:30
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,TORRE PELLICE - BOBBIO PELLICE,,09:55,10:13
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,BOBBIO PELLICE - TORRE PELLICE,,10:13,10:30
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,TORRE PELLICE - BOBBIO PELLICE,,10:30,10:50
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,BOBBIO PELLICE - TORRE PELLICE,,12:15,12:30
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,TORRE PELLICE - BOBBIO PELLICE,,12:30,12:50
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,BOBBIO PELLICE - TORRE PELLICE,,13:15,13:30
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,TORRE PELLICE - BOBBIO PELLICE,,13:30,13:49
Bo3050,TURNO 305 DI BOBBIO,Bobbio,Domenica,05:10,15:50,000279,BOBBIO PELLICE - TORRE PELLICE,,15:05,15:25
Ca0017,CASELLE-TORINO-CASELLE,Caselle,Domenica,06:49,16:00,000268,CASELLE Aeroporto - TO - piazza Carlo Felice,,07:00,07:45
Ca0017,CASELLE-TORINO-CASELLE,Caselle,Domenica,06:49,16:00,000268,TO - piazza Carlo Felice - CASELLE Aeroporto,,08:00,08:45
Ca0017,CASELLE-TORINO-CASELLE,Caselle,Domenica,06:49,16:00,000268,CASELLE Aeroporto - TO - piazza Carlo Felice,,09:00,09:45
Ca0017,CASELLE-TORINO-CASELLE,Caselle,Domenica,06:49,16:00,000268,TO - piazza Carlo Felice - CASELLE Aeroporto,,10:00,10:45
Ca0017,CASELLE-TORINO-CASELLE,Caselle,Domenica,06:49,16:00,000268,CASELLE Aeroporto - TO - piazza Carlo Felice,,11:00,11:45
Ca0017,CASELLE-TORINO-CASELLE,Caselle,Domenica,06:49,16:00,000268,TO - piazza Carlo Felice - CASELLE Aeroporto,,13:00,13:45
Ca0017,CASELLE-TORINO-CASELLE,Caselle,Domenica,06:49,16:00,000268,CASELLE Aeroporto - TO - piazza Carlo Felice,,14:00,14:45
Ca0017,CASELLE-TORINO-CASELLE,Caselle,Domenica,06:49,16:00,000268,TO - piazza Carlo Felice - CASELLE Aeroporto,,15:00,15:45
Ca0037,CASELLE-TORINO-CASELLE,Caselle,Domenica,15:45,23:57,000268,CASELLE Aeroporto - TO - piazza Carlo Felice,,16:00,16:45
Ca0037,CASELLE-TORINO-CASELLE,Caselle,Domenica,15:45,23:57,000268,TO - piazza Carlo Felice - CASELLE Aeroporto,,19:00,19:45
Ca0037,CASELLE-TORINO-CASELLE,Caselle,Domenica,15:45,23:57,000268,CASELLE Aeroporto - TO - piazza Carlo Felice,,20:00,20:45
Ca0037,CASELLE-TORINO-CASELLE,Caselle,Domenica,15:45,23:57,000268,TO - piazza Carlo Felice - CASELLE Aeroporto,,21:00,21:45
Ca0037,CASELLE-TORINO-CASELLE,Caselle,Domenica,15:45,23:57,000268,CASELLE Aeroporto - TO - piazza Carlo Felice,,22:00,22:45
Ca0037,CASELLE-TORINO-CASELLE,Caselle,Domenica,15:45,23:57,000268,TO - piazza Carlo Felice - CASELLE Aeroporto,,23:00,23:45
FS100,CORSE F.S. DI PINEROLO,Pinerolo,Domenica,08:04,17:25,000701,PIN - Str. Vecchia di Buriasco-Via Seves - S.Pietro Val Lemina - via Europa fr,,08:19,08:36
FS100,CORSE F.S. DI PINEROLO,Pinerolo,Domenica,08:04,17:25,000701,S.Pietro Val Lemina - via Europa 61 - MACELLO - Municipio,,08:40,09:20
FS100,CORSE F.S. DI PINEROLO,Pinerolo,Domenica,08:04,17:25,000701,MACELLO - Municipio - S.Pietro Val Lemina - via Europa fr,,09:25,10:03
FS100,CORSE F.S. DI PINEROLO,Pinerolo,Domenica,08:04,17:25,000701,S.Pietro Val Lemina - via Europa 61 - MACELLO - Municipio,,10:10,10:50
FS100,CORSE F.S. DI PINEROLO,Pinerolo,Domenica,08:04,17:25,000701,MACELLO - Municipio - S.Pietro Val Lemina - via Europa fr,,10:50,11:20
FS100,CORSE F.S. DI PINEROLO,Pinerolo,Domenica,08:04,17:25,000701,S.Pietro Val Lemina - via Europa 61 - MACELLO - Municipio,,11:30,12:10
