TURNO,NOME_TURNO,LINEA,PARTENZA,ARRIVO,DA
Ba3510,TURNO 351 DI BARGE SETTIMANA,280,04:45,05:15,BARGE-Viale Mazzini/Cavallotta - OSASCO - Ponte Chisone
Ba3510,TURNO 351 DI BARGE SETTIMANA,275,05:15,05:27,OSASCO - Ponte Chisone - Villar Perosa Stabilimento SKF
Ba3510,TURNO 351 DI BARGE SETTIMANA,284,06:00,06:15,Pinerolo Bivio Sede SAPAV - AIRASCA - stabilimento SKF
Ba3510,TURNO 351 DI BARGE SETTIMANA,280,06:30,07:22,AIRASCA - stabilimento SKF - BARGE-Viale Mazzini/Cavallotta
Ba3510,TURNO 351 DI BARGE SETTIMANA,280,21:00,22:00,BARGE-Viale Mazzini/Cavallotta - AIRASCA - stabilimento SKF
Ba3510,TURNO 351 DI BARGE SETTIMANA,280,22:30,23:22,AIRASCA - stabilimento SKF - BARGE-Viale Mazzini/Cavallotta
Ba3520,TURNO 352 DI BARGE,280,07:10,08:10,BARGE-Viale Mazzini/Cavallotta - AIRASCA - stabilimento SKF
Ba3520,TURNO 352 DI BARGE,280,08:15,09:00,AIRASCA - stabilimento SKF - BARGE-Viale Mazzini/Cavallotta
Ba3520,TURNO 352 DI BARGE,280,12:45,13:55,BARGE-Viale Mazzini/Cavallotta - AIRASCA - stabilimento SKF
Ba3520,TURNO 352 DI BARGE,280,14:30,15:29,AIRASCA - stabilimento SKF - BARGE-Viale Mazzini/Cavallotta
Ba3520,TURNO 352 DI BARGE,275,16:20,16:40,PINEROLO - Piazza Cavour - VILLAR PEROSA - via Nazionale
Ba3520,TURNO 352 DI BARGE,275,17:00,17:14,Villar Perosa Stabilimento SKF - OSASCO - Ponte Chisone
Ba3520,TURNO 352 DI BARGE,280,17:14,17:48,OSASCO - Ponte Chisone - BARGE-Viale Mazzini/Cavallotta
Ba3530,TURNO 353 DI BARGE,280,04:50,05:55,BARGE-Viale Mazzini/Cavallotta - AIRASCA - stabilimento SKF
Ba3530,TURNO 353 DI BARGE,278,06:25,07:00,CERCENASCO - v. Reg.Margherita - PINEROLO - Piazza Cavour
Ba3530,TURNO 353 DI BARGE,283,07:15,07:45,PINEROLO - Piazza Cavour - CANTALUPA
Ba3530,TURNO 353 DI BARGE,283,07:50,08:09,CANTALUPA - PINEROLO - Piazza Cavour
Ba3530,TURNO 353 DI BARGE,282,08:10,08:40,PINEROLO - Piazza Cavour - PEROSA ARG.-Pzza Terzo Alpini
Ba3530,TURNO 353 DI BARGE,275,09:40,10:12,PEROSA ARG.-Pzza Terzo Alpini - PINEROLO - movicentro
Ba3530,TURNO 353 DI BARGE,275,13:10,13:35,Pinerolo Bivio Sede SAPAV - Villar Perosa Stabilimento SKF
Ba3530,TURNO 353 DI BARGE,275,14:15,14:26,Villar Perosa Stabilimento SKF - OSASCO - Ponte Chisone
Ba3530,TURNO 353 DI BARGE,280,14:26,14:56,OSASCO - Ponte Chisone - BARGE-Viale Mazzini/Cavallotta
Ba3560,TURNO 356 DI BARGE,280,06:40,07:10,BARGE-Viale Mazzini/Cavallotta - OSASCO - Ponte Chisone
Ba3560,TURNO 356 DI BARGE,275,07:10,07:24,OSASCO - Ponte Chisone - Villar Perosa Stabilimento SKF
Ba3560,TURNO 356 DI BARGE,275,07:40,08:10,PEROSA ARG.-Pzza Terzo Alpini - PINEROLO Centro Studi
Ba3560,TURNO 356 DI BARGE,280,08:45,09:15,PINEROLO - Fronte Stazione FS - BARGE-Viale Mazzini/Cavallotta
Ba3560,TURNO 356 DI BARGE,901,13:50,14:25,PINEROLO - movicentro - TORRE PELLICE
Ba3560,TURNO 356 DI BARGE,901,15:05,15:40,TORRE PELLICE - PINEROLO - movicentro
Ba3560,TURNO 356 DI BARGE,280,17:30,18:30,AIRASCA - stabilimento SKF - BARGE-Viale Mazzini/Cavallotta
Bo3010,TURNO 301 DI Bobbio,284,04:05,04:46,BOBBIO PELLICE - PINEROLO - stazione FS
Bo3010,TURNO 301 DI Bobbio,284,04:48,05:32,PINEROLO - stazione FS - TO - Mirafiori c.so Tazzoli
Bo3010,TURNO 301 DI Bobbio,284,06:10,07:00,TO - Mirafiori c.so Tazzoli - PINEROLO - Fronte Stazione FS
Bo3010,TURNO 301 DI Bobbio,284,07:02,07:35,PINEROLO - Fronte Stazione FS - BOBBIO PELLICE
Bo3010,TURNO 301 DI Bobbio,284,12:05,12:49,BOBBIO PELLICE - PINEROLO - stazione FS
Bo3010,TURNO 301 DI Bobbio,284,12:51,13:38,PINEROLO - stazione FS - TO - Mirafiori c.so Tazzoli
Bo3010,TURNO 301 DI Bobbio,284,14:15,15:11,TO - Mirafiori c.so Tazzoli - PINEROLO - Fronte Stazione FS
Bo3010,TURNO 301 DI Bobbio,284,15:13,15:49,PINEROLO - Fronte Stazione FS - BOBBIO PELLICE
Bo3020,TURNO 302 DI BOBBIO,901,16:35,17:10,TORRE PELLICE - PINEROLO - movicentro
Bo3020,TURNO 302 DI BOBBIO,283,17:35,17:55,PINEROLO - Piazza Cavour - CANTALUPA
Bo3020,TURNO 302 DI BOBBIO,283,17:55,18:25,CANTALUPA - PINEROLO - Piazza Cavour
Bo3020,TURNO 302 DI BOBBIO,284,20:05,20:48,BOBBIO PELLICE - PINEROLO - stazione FS
Bo3020,TURNO 302 DI BOBBIO,284,20:50,21:40,PINEROLO - stazione FS - TO - Mirafiori c.so Tazzoli
Bo3020,TURNO 302 DI BOBBIO,284,22:15,23:05,TO - Mirafiori c.so Tazzoli - PINEROLO - Fronte Stazione FS
Bo3020,TURNO 302 DI BOBBIO,284,23:07,23:40,PINEROLO - Fronte Stazione FS - BOBBIO PELLICE
Bo3030,TURNO 303 DI BOBBIO,279,05:40,06:00,BOBBIO PELLICE - TORRE PELLICE
Bo3030,TURNO 303 DI BOBBIO,279,06:35,06:53,TORRE PELLICE - BOBBIO PELLICE
Bo3030,TURNO 303 DI BOBBIO,279,07:00,07:51,BOBBIO PELLICE - Pinerolo Centro Studi (C.Torino/Rochis)
Bo3030,TURNO 303 DI BOBBIO,284,08:15,08:46,PINEROLO - Fronte Stazione FS - TORRE PELLICE
