DATA,Turno Prog,,Orario Turno,ore Riposo,RIP Giornaliero e SETTIMANALE,Giorno Recupero,,,,,Ora inizio,Ora Fine,Riposo,Turno,Inizio Turno,Fine Turno,,Scolastico,Festivo Infrasettimanale (8),Feriali Lunedì-Venerdì (12345),Lunedì-Venerdì,Sabato (6),Domenica (7),Domenica e Festivi (78),Festivo (8),Natale,Pasqua,Agosto,Agosto Centrali
lun 1 giu 26,To2070,,12:42 - 21:10,,RIP,,0.00.00,,,,12.42.00,21.10.00,,To2010,4.35.00,13.00,04:35 - 13:00,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mar 2 giu 26,To2040,,08:05 - 16:00,10.55.00,GIORN. RIDOTTO,,0.00.00,,,03/06,8.05.00,16.00.00,10.55.00,To2020,6.05,14.02,06:05 - 14:02,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
mer 3 giu 26,To2050,,06:58 - 17:55,14.58.00,GIORNALIERO,,0.00.00,,,04/06,6.58.00,17.55.00,14.58.00,To2030,7.05,15.02,07:05 - 15:02,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gio 4 giu 26,To2030,,07:05 - 15:02,13.10.00,GIORNALIERO,,0.00.00,,,05/06,7.05.00,15.02.00,13.10.00,To2040,8.05,16.00,08:05 - 16:00,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ven 5 giu 26,To2010,,04:35 - 13:00,13.33.00,GIORNALIERO,,0.00.00,,,08/06,4.35.00,13.00.00,13.33.00,To2050,6.58,17.55,06:58 - 17:55,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sab 6 giu 26,RIP,,RIP,0.00.00,RIP,,0.00.00,,,08/06,0.00.00,0.00.00,11.00.00,To2050B,9.05,17.55,09:05 - 17:55,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dom 7 giu 26,RIP,,RIP,0.00.00,RIP,,0.00.00,,,08/06,0.00.00,0.00.00,35.00.00,To2060,11.40,20.10,11:40 - 20:10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
lun 8 giu 26,DISP,To2030,07:05 - 15:02,66.05.00,REGOLARE,,0.00.00,,,09/06,7.05.00,15.02.00,66.05.00,To2070,12.42,21.10,12:42 - 21:10,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mar 9 giu 26,To2090,,14:40 - 23:20,23.38.00,GIORNALIERO,,0.00.00,,,10/06,14.40.00,23.20.00,23.38.00,To2080,13.42,22.10,13:42 - 22:10,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mer 10 giu 26,To2070,,12:42 - 21:10,13.22.00,GIORNALIERO,,0.00.00,,,11/06,12.42.00,21.10.00,13.22.00,To2090,14.40,23.20,14:40 - 23:20,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
