Linea,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268
ID_Corsa,C0966,C0896,C0897,C0961,C0962,C0898,C0963,C0899,C0964,C0900,C0965,C0901,C0967,C0903,C0905,C0969,C0907,C0909,C0971,C0911,C0913,C0973,C0915,C0917,C0975,C0919,C0921,C0977,C0923,C0925,C0979,C0927,C0928,C0929,C0981,C0931,C0933,C0983,C0935,C0937,C0985,C0939,C0941,C0987,C0943,C0944,C0945,C0946,C0990,C0947,C0948,C0949,C0950,C0992,C0951,C0952,C0994,C0954,C0996,C0956,C0998,C0958,C1000,C0960,C0988,C0902,C0904,C0906,C0908,C0910,C0912,C0914,C0916,C0918,C0920,C0922,C0924,C0926,C0930,C0932,C0934,C0936,C0938,C0940,C0942,C0953,C0955,C0957,C0959,C0968,C0970,C0972,C0974,C0976,C0978,C0980,C0982,C0984,C0986,C0989,C0991,C0993,C0995,C0997,C0999
Giorni,8,12345,12345,6,8,12345,6,12345,8,12345,6,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,12345,12345,8,12345,12345,12345,12345,8,12345,12345,8,12345,8,12345,8,12345,8,12345,6,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Stagionalita,,FER,FER,FER,FEST,FER,FER,SCO,FEST,FER,FER,SCO,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,FER,FER,,FER,FER,FER,FER,,FER,FER,,FER,,FER,,FER,,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,,,,,,,,,,,,,,,,
Note,,,,,#,,,Scol,,,,Scol,,,,#,,,,,,#,,,,,,#,,,,,,,#,,,,,,#,,,,,,,,#,,,,,,,,#,,,,K,K,K,K,K,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,,,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,
TORINO - Porta Nuova,4:15,4:45,5:15,5:15,5:30,5:45,5:45,6:15,6:15,6:30,6:30,6:45,7:00,7:15,7:45,8:00,8:15,8:45,9:00,9:15,9:45,10:00,10:15,10:45,11:00,11:15,11:45,12:00,12:15,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:45,15:00,15:15,15:45,16:00,16:15,16:45,17:00,17:15,17:30,17:45,18:00,18:00,18:15,18:30,18:45,19:00,19:00,19:20,19:40,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,23:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,14:00,14:30,15:00,15:30,16:00,16:30,17:00,20:00,21:00,22:00,23:00,7:30,8:30,9:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
TORINO - Porta Susa,4:23,4:53,5:23,5:23,5:38,5:53,5:53,6:23,6:23,6:38,6:38,6:53,7:08,7:23,7:53,8:08,8:23,8:53,9:08,9:23,9:53,10:08,10:23,10:53,11:08,11:23,11:53,12:08,12:23,12:53,13:08,13:23,13:38,13:53,14:08,14:23,14:53,15:08,15:23,15:53,16:08,16:23,16:53,17:08,17:23,17:38,17:53,18:08,18:08,18:23,18:38,18:53,19:08,19:08,19:28,19:48,20:08,20:38,21:08,21:38,22:08,22:38,23:08,23:38,23:38,7:08,7:38,8:08,8:38,9:08,9:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,14:08,14:38,15:08,15:38,16:08,16:38,17:08,20:08,21:08,22:08,23:08,7:38,8:38,9:38,10:38,11:38,12:38,13:38,14:38,15:38,16:38,17:38,18:38,19:38,20:38,21:38,22:38
TORINO - c.so Umbria/via Livorno,4:28,4:58,5:28,5:28,5:43,5:58,5:58,6:28,6:28,6:43,6:43,6:58,7:13,7:28,7:58,8:13,8:28,8:58,9:13,9:28,9:58,10:13,10:28,10:58,11:13,11:28,11:58,12:13,12:28,12:58,13:13,13:28,13:43,13:58,14:13,14:28,14:58,15:13,15:28,15:58,16:13,16:28,16:58,17:13,17:28,17:43,17:58,18:13,18:13,18:28,18:43,18:58,19:13,19:13,19:33,19:53,20:13,20:43,21:13,21:43,22:13,22:43,23:13,23:43,23:43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TO – via Stradella,4:33,5:03,5:33,5:33,5:48,6:03,6:03,6:33,6:33,6:48,6:48,7:03,7:18,7:33,8:03,8:18,8:33,9:03,9:18,9:33,10:03,10:18,10:33,11:03,11:18,11:33,12:03,12:18,12:33,13:03,13:18,13:33,13:48,14:03,14:18,14:33,15:03,15:18,15:33,16:03,16:18,16:33,17:03,17:18,17:33,17:48,18:03,18:18,18:18,18:33,18:48,19:03,19:18,19:18,19:38,19:58,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48,23:48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TO - Via Stampini,4:37,5:07,5:37,5:37,5:52,6:07,6:07,6:37,6:37,6:52,6:52,7:07,7:22,7:37,8:07,8:22,8:37,9:07,9:22,9:37,10:07,10:22,10:37,11:07,11:22,11:37,12:07,12:22,12:37,13:07,13:22,13:37,13:52,14:07,14:22,14:37,15:07,15:22,15:37,16:07,16:22,16:37,17:07,17:22,17:37,17:52,18:07,18:22,18:22,18:37,18:52,19:07,19:22,19:22,19:42,20:02,20:22,20:52,21:22,21:52,22:22,22:52,23:22,23:52,23:52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
