Data,Giorno,Tipo,Nota
01/09/2026,mar.,Vacanza (Estiva),
02/09/2026,mer.,Vacanza (Estiva),
03/09/2026,gio.,Vacanza (Estiva),
04/09/2026,ven.,Vacanza (Estiva),
05/09/2026,sab.,Vacanza (Estiva),
06/09/2026,dom.,Vacanza (Estiva),
07/09/2026,lun.,Vacanza (Estiva),
08/09/2026,mar.,Vacanza (Estiva),
09/09/2026,merc,Vacanza (Estiva),
10/09/2026,gio.,Vacanza (Estiva),
11/09/2026,ven.,Vacanza (Estiva),
12/09/2026,sab.,Vacanza (Estiva),
13/09/2026,dom.,Vacanza (Estiva),
14/09/2026,lun.,Scolastico,INIZIO LEZIONI
15/09/2026,mar.,Scolastico,
16/09/2026,mer.,Scolastico,
17/09/2026,gio.,Scolastico,
18/09/2026,ven.,Scolastico,
19/09/2026,sab.,Scolastico,
20/09/2026,dom.,Festivo,
21/09/2026,lun.,Scolastico,
22/09/2026,mar.,Scolastico,
23/09/2026,merc,Scolastico,
24/09/2026,gio.,Scolastico,
25/09/2026,ven.,Scolastico,
26/09/2026,sab.,Scolastico,
27/09/2026,dom.,Festivo,
28/09/2026,lun.,Scolastico,
29/09/2026,mar.,Scolastico,
30/09/2026,mer.,Scolastico,
01/10/2026,gio.,Scolastico,
02/10/2026,ven.,Scolastico,
03/10/2026,sab.,Scolastico,
04/10/2026,dom.,Festivo,SAN FRANCESCO
05/10/2026,lun.,Scolastico,
06/10/2026,mar.,Scolastico,
07/10/2026,mer.,Scolastico,
08/10/2026,gio.,Scolastico,
09/10/2026,ven.,Scolastico,
10/10/2026,sab.,Scolastico,
11/10/2026,dom.,Festivo,
12/10/2026,lun.,Scolastico,
13/10/2026,mar.,Scolastico,
14/10/2026,mer.,Scolastico,
15/10/2026,gio.,Scolastico,
16/10/2026,ven.,Scolastico,
17/10/2026,sab.,Scolastico,
18/10/2026,dom.,Festivo,
19/10/2026,lun.,Scolastico,
20/10/2026,mar.,Scolastico,
21/10/2026,mer.,Scolastico,
22/10/2026,gio.,Scolastico,
23/10/2026,ven.,Scolastico,
24/10/2026,sab.,Scolastico,
25/10/2026,dom.,Festivo,
26/10/2026,lun.,Scolastico,
27/10/2026,mar.,Scolastico,
28/10/2026,mer.,Scolastico,
29/10/2026,gio.,Scolastico,
30/10/2026,ven.,Scolastico,
31/10/2026,sab.,Scolastico,
01/11/2026,dom.,Festivo,SANTI
02/11/2026,lun.,Scolastico,
03/11/2026,mar.,Scolastico,
04/11/2026,mer.,Scolastico,
05/11/2026,gio.,Scolastico,
06/11/2026,ven.,Scolastico,
07/11/2026,sab.,Scolastico,
08/11/2026,dom.,Festivo,
09/11/2026,lun.,Scolastico,
10/11/2026,mar.,Scolastico,
11/11/2026,mer.,Scolastico,
12/11/2026,gio.,Scolastico,
13/11/2026,ven.,Scolastico,
14/11/2026,sab.,Scolastico,
15/11/2026,dom.,Festivo,
16/11/2026,lun.,Scolastico,
17/11/2026,mar.,Scolastico,
18/11/2026,mer.,Scolastico,
19/11/2026,gio.,Scolastico,
20/11/2026,ven.,Scolastico,
21/11/2026,sab.,Scolastico,
22/11/2026,dom.,Festivo,
23/11/2026,lun.,Scolastico,
24/11/2026,mar.,Scolastico,
25/11/2026,mer.,Scolastico,
26/11/2026,gio.,Scolastico,
27/11/2026,ven.,Scolastico,
28/11/2026,sab.,Scolastico,
29/11/2026,dom.,Festivo,
30/11/2026,lun.,Scolastico,
01/12/2026,mar.,Scolastico,
02/12/2026,mer.,Scolastico,
03/12/2026,gio.,Scolastico,
04/12/2026,ven.,Scolastico,
05/12/2026,sab.,Scolastico,
06/12/2026,dom.,Festivo,
07/12/2026,lun.,Scolastico,sospensione lezioni
08/12/2026,mar.,Scolastico,IMMACOLATA
09/12/2026,mer.,Scolastico,
10/12/2026,gio.,Scolastico,
11/12/2026,ven.,Scolastico,
12/12/2026,sab.,Scolastico,
13/12/2026,dom.,Festivo,
14/12/2026,lun.,Scolastico,
15/12/2026,mar.,Scolastico,
16/12/2026,mer.,Scolastico,
17/12/2026,gio.,Scolastico,
18/12/2026,ven.,Scolastico,
19/12/2026,sab.,Scolastico,
20/12/2026,dom.,Festivo,
21/12/2026,lun.,Scolastico,
22/12/2026,mar.,Scolastico,
23/12/2026,mer.,Scolastico,vacanze natalizie
24/12/2026,gio.,Scolastico,vacanze natalizie
25/12/2026,ven.,Festivo,NATALE
26/12/2026,sab.,Scolastico,S.STEFANO
27/12/2026,dom.,Festivo,
28/12/2026,lun.,Scolastico,vacanze natalizie
29/12/2026,mar.,Scolastico,vacanze natalizie
30/12/2026,mar.,Scolastico,vacanze natalizie
31/12/2026,gio.,Scolastico,vacanze natalizie
01/01/2027,ven.,Scolastico,CAPODANNO
02/01/2027,sab.,Scolastico,vacanze natalizie
03/01/2027,dom.,Festivo,
04/01/2027,lun.,Scolastico,vacanze natalizie
05/01/2027,mar.,Scolastico,vacanze natalizie
