Codice_Turno,Nome_Turno,Deposito,Giorno,Turno_Ora_Inizio,Turno_Ora_Fine,Corsa_Linea,Corsa_Da,Corsa_A,Corsa_Ora_Partenza,Corsa_Ora_Arrivo
,,Torino - Deposito,Giovedì,03:41,08:59,121,To - lungo dora firenze,TO - via Accademia Albert,04:21,04:35
,,Torino - Deposito,Giovedì,03:41,08:59,277,TO - via Accademia Albert,Fca-Mopar (L.Go Sen. Agnelli),04:35,05:25
,,Torino - Deposito,Giovedì,03:41,08:59,121,Fca-Mopar (L.Go Sen. Agnelli),PAUSA 06:25 -,05:25,07:06
,,Torino - Deposito,Giovedì,03:41,08:59,275,Pinerolo - Movicentro,TORINO - Autostazione c.s,07:16,08:19
,,Torino - Deposito,Giovedì,03:45,09:08,119,To - Corso Vercelli-Via C,To - corso Belgio,04:30,04:52
,,Torino - Deposito,Giovedì,03:45,09:08,277,To - corso Belgio,Pinerolo - Movicentro,04:52,06:10
,,Torino - Deposito,Giovedì,03:45,09:08,275,Pinerolo - Movicentro,Perosa Arg.-Pzza Terzo Alpini,06:18,06:50
,,Torino - Deposito,Giovedì,03:45,09:08,275,Perosa Arg.-Pzza Terzo Al,Pin - Via Giustetto-Via P,07:00,07:23
,,Torino - Deposito,Giovedì,03:45,09:08,275,Pin - Via Giustetto-Via P,TORINO - Autostazione c.s,07:25,08:28
,,Torino - Deposito,Giovedì,14:15,21:15,L60,To-C.So V.Eman. Ii-Porta,PAUSA 17:05 -,14:55,18:22
,,Torino - Deposito,Giovedì,14:15,21:15,L60,Aosta - Autostazione,Torino - Deposito,18:30,21:05
,,Torino - Deposito,Giovedì,17:01,00:24,275,TORINO - Autostazione c.s,Pinerolo - Movicentro,17:41,18:44
,,Torino - Deposito,Giovedì,17:01,00:24,275,Pinerolo - Movicentro,Perosa Arg.-Pzza Terzo Al,18:48,19:20
,,Torino - Deposito,Giovedì,17:01,00:24,275,Perosa Arg.-Pzza Terzo Al,PAUSA 19:50 -,19:20,21:10
,,Torino - Deposito,Giovedì,17:01,00:24,275,Fenestrelle - Via Naziona,Airasca - stabilimento skf,21:10,22:11
,,Torino - Deposito,Giovedì,17:01,00:24,277,Airasca - stabilimento sk,To - Cso Vittorio 168-Via,22:30,23:14
,,Torino - Deposito,Giovedì,17:01,00:24,119,To - Cso Vittorio 168-Via,To - viale dei mughetti,23:14,23:44
,,Torino - Deposito,Giovedì,15:01,20:05,275,TORINO - Autostazione c.s,PAUSA 16:59 -,15:41,17:30
,,Torino - Deposito,Giovedì,15:01,20:05,277,Airasca - stabilimento sk,To - cso ferrucci-via cav,17:30,18:41
,,Torino - Deposito,Giovedì,15:01,20:05,119,To - cso ferrucci-via cav,Torino - Deposito,18:41,19:55
,,Torino - Deposito,Giovedì,15:51,00:18,121,MOPAR FCA - Via Primo Mag,Fca-Mopar (L.Go Sen. Agnelli),22:15,22:35
,,Torino - Deposito,Giovedì,15:51,00:18,277,Torino - Deposito ................................1...6..:..0..1..... F..c..a..-.M....o..p..a..r. .(.L....G...o.. .S..e..n.... .A..g..n..e..l.l.i.),TORINO - Autostazione c.so Bolzano ..1..6...:.3...1.... .V..i.a.. .A..c..c..a..d..e..m...i.a.. .A..l.b..e..r.t..i.n..a,22:35,23:25
,,Torino - Deposito,Giovedì,15:51,00:18,275,TORINO - Autostazione c.s .................1..6...:.3...1.... .V..i.a.. .A..c..c..a..d..e..m...i.a.. .A..l.b..e..r..t.i.n..a,Pinerolo - Movicentro ........................1..7...:.4...4.... .T..o.. .-.. l.u..n...g.o... .d..o..r.a.. .f.i.r..e..n..z.e,23:25,23:38
,,Torino - Deposito,Giovedì,15:51,00:18,282,Pinerolo - Movicentro ........................1..7...:.4...6.... .T..o.. .-.. l.u..n...g.o... .d..o..r.a.. .f.i.r..e..n..z.e,TORINO - Autostazione c.so Bolzano,23:38,18:57
,,Torino - Deposito,Giovedì,15:51,00:18,282,TORINO - Autostazione c.s,PAUSA 20:34 -,19:18,21:30
,,Torino - Deposito,Giovedì,16:23,00:35,282,TORINO - Autostazione c.s,Pinerolo - Movicentro,17:03,18:14
,,Torino - Deposito,Giovedì,16:23,00:35,275,Pinerolo - Movicentro,To - corso toscana-via borgaro,18:16,19:39
,,Torino - Deposito,Giovedì,16:23,00:35,119,To - corso toscana-via bo,To - Corso Francia-Via Po,20:38,20:50
,,Torino - Deposito,Giovedì,16:23,00:35,277,To - Corso Francia-Via Po,Airasca - stabilimento sk,20:50,22:00
,,Torino - Deposito,Giovedì,16:23,00:35,277,Airasca - stabilimento sk,To - via napione - corso,22:30,23:33
,,Torino - Deposito,Giovedì,16:23,00:35,119,To - via napione - corso,To - Corso Vercelli,23:33,23:55
,,Torino - Deposito,Giovedì,13:35,23:19,268,To - piazza carlo felice,Caselle Aeroporto,21:00,21:37
,,Torino - Deposito,Giovedì,13:35,23:19,268,Caselle Aeroporto ..............................1...5...:.0..7..... .C..a..s.e..l.l.e.. .A...e.r..o..p..o..r..t.o,To - piazza carlo felice,22:00,22:39
,,Torino - Deposito,Giovedì,13:35,23:19,268,To - piazza carlo felice ........................1..6...:.1...5.... .T..o.. .-. .p..i.a..z..z.a.. .c..a..r.l.o.. .f..e..l.i.c.e,PAUSA 16:19 -,22:39,17:16
,,Torino - Deposito,Giovedì,13:35,23:19,265,TORINO - Autostazione c.s,Ivrea - Loc Banchette,17:16,18:17
,,Torino - Deposito,Giovedì,13:35,23:19,265,Ivrea - Loc Banchette,Ivrea - Porta Vercelli,18:19,18:24
,,Torino - Deposito,Giovedì,13:35,23:19,265,Ivrea - Porta Vercelli,Ivrea - Loc Banchette,18:30,18:39
,,Torino - Deposito,Giovedì,13:35,23:19,265,Ivrea - Loc Banchette,TORINO - Autostazione c.s,18:41,19:36
,,Torino - Deposito,Giovedì,04:10,13:55,119,Col - Cso Francia - Via C .....................0...4...:.5..0..... .T..o.. .-. .p..i.a..z.z..a.. .c..a..r.l.o.. .f.e..l.i.c..e,TO - cso Francia/via Riet ....................0...5..:..0..0.... .C...a.s..e..l.l.e.. .A..e..r..o..p..o..r.t..o,11:15,12:00
,,Torino - Deposito,Giovedì,04:10,13:55,277,TO - cso Francia/via Riet ....................0...5..:..0..0.... .C...a.s..e..l.l.e.. .A..e..r..o..p..o..r.t..o,PAUSA 05:55 -,12:15,06:30
,,Torino - Deposito,Giovedì,04:10,13:55,277,Airasca - stabilimento sk ....................0...6..:.3...0.... .T..o..r..i.n..o.. .-. .D...e..p..o..s.i.t..o,To - Corso Francia-Via Po,13:45,07:31
,,Torino - Deposito,Giovedì,04:10,13:55,119,To - Corso Francia-Via Po,PAUSA 08:21 -,07:31,10:40
,,Torino - Deposito,Giovedì,04:45,16:05,119,To - viale dei mughetti,To - Cso Vittorio 169-Via,12:30,12:59
,,Torino - Deposito,Giovedì,04:45,16:05,277,Torino - Deposito ................................0...4..:..5..5..... T..o... .-. .C..s..o.. .V..i.t.t.o...r.i.o.. .1..6..9..-..V..i.a,Beinasco (banca sanpaolo) .................0...5..:..1..0.... .A...i.r.a..s..c.a.. .-. .s..t.a..b..i.l.i.m...e..n..t..o.. .s.k,12:59,13:55
,,Torino - Deposito,Giovedì,04:45,16:05,277,Beinasco (banca sanpaolo),PAUSA 06:10 - 07:06 Collegnocorso Francia Ang,05:10,15:40
,,Torino - Deposito,Giovedì,04:45,16:05,275,Pinerolo Bivio Sede Sapav ..................0..7...:.1...3.... .T..o..r.i.n..o.. .-.. .D..e..p..o..s..i.t.o,PAUSA 08:39 -,15:55,11:55
,,Torino - Deposito,Giovedì,05:43,14:55,268,,,,
,,Torino - Deposito,Giovedì,05:43,14:55,265,TORINO - Autostazione c.s .................0..6...:.2...3.... .C..a..s..e..l.l.e.. .A..e..r.o..p...o..r.t.o,Ivrea - C.So Vercelli,13:07,07:32
,,Torino - Deposito,Giovedì,05:43,14:55,268,Vuoto Caselle Aeroporto,To - piazza carlo felice,13:30,14:15
,,Torino - Deposito,Giovedì,05:43,14:55,265,Ivrea - Porta Vercelli,Ivrea - Loc Banchette,07:40,07:51
,,Torino - Deposito,Giovedì,05:43,14:55,265,Ivrea - Loc Banchette .........................0...7...:.5..3..... .T..o..r.i.n..o.. .-.. D...e..p..o..s..i.t.o,To - piazza carlo felice,14:45,12:30
,,Torino - Deposito,Giovedì,05:55,17:04,119,To - via cravero ...................................0..6...:.3...5.... .T..o.. .-. .p..i.a..z..z.a.. .c..a..r.l.o.. .f..e..l.ic..e,To - cso ferrucci-via cia,14:45,06:59
,,Torino - Deposito,Giovedì,05:55,17:04,268,,,,
,,Torino - Deposito,Giovedì,05:55,17:04,277,To - cso ferrucci-via cia ......................0...6..:..5..9..... C...a..s.e..l.l.e.. .A..e..r..o..p..o..r..t.o,Airasca - stabilimento sk,15:30,08:10
,,Torino - Deposito,Giovedì,05:55,17:04,268,,,,
,,Torino - Deposito,Giovedì,05:55,17:04,284,Airasca - stabilimento sk ....................0...8..:.1...5.... .T..o.. .-.. p...i.a.z..z..a.. .c.a..r..l.o.. .f.e..l.i.c..e,Pinerolo - Movicentro,16:24,08:37
,,Torino - Deposito,Giovedì,05:55,17:04,282,Pinerolo - Movicentro,PAUSA 10:27 -,08:46,14:10
,,Torino - Deposito,Giovedì,06:15,15:38,277,Airasca - stabilimento sk,Torino - C.So Maroncelli 34 ................0...6..:..5..5.... .T..o...r.i.n..o.. .-. .D...e..p..o..s..i.t.o,14:30,15:28
,,Torino - Deposito,Giovedì,06:15,15:38,266,Torino - C.So Maroncelli,Rondissone - P.Za Roma,06:55,07:59
,,Torino - Deposito,Giovedì,06:15,15:38,266,Rondissone - P.Za Roma,PAUSA 08:52 -,08:01,12:45
,,Torino - Deposito,Giovedì,06:15,15:38,277,Beinasco (banca sanpaolo),PAUSA 13:55 -,13:05,14:30
