TURNO,NOME_TURNO,LINEA,PARTENZA,ARRIVO,DA
Bo3050,TURNO 305 DI BOBBIO,000279,05:20,05:34,BOBBIO PELLICE - TORRE PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,05:40,06:00,TORRE PELLICE - BOBBIO PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,06:20,06:34,BOBBIO PELLICE - TORRE PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,07:25,07:42,TORRE PELLICE - BOBBIO PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,08:15,08:30,BOBBIO PELLICE - TORRE PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,09:55,10:13,TORRE PELLICE - BOBBIO PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,10:13,10:30,BOBBIO PELLICE - TORRE PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,10:30,10:50,TORRE PELLICE - BOBBIO PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,12:15,12:30,BOBBIO PELLICE - TORRE PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,12:30,12:50,TORRE PELLICE - BOBBIO PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,13:15,13:30,BOBBIO PELLICE - TORRE PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,13:30,13:49,TORRE PELLICE - BOBBIO PELLICE
Bo3050,TURNO 305 DI BOBBIO,000279,15:05,15:25,BOBBIO PELLICE - TORRE PELLICE
Ca0017,CASELLE-TORINO-CASELLE,000268,07:00,07:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0017,CASELLE-TORINO-CASELLE,000268,08:00,08:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0017,CASELLE-TORINO-CASELLE,000268,09:00,09:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0017,CASELLE-TORINO-CASELLE,000268,10:00,10:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0017,CASELLE-TORINO-CASELLE,000268,11:00,11:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0017,CASELLE-TORINO-CASELLE,000268,13:00,13:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0017,CASELLE-TORINO-CASELLE,000268,14:00,14:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0017,CASELLE-TORINO-CASELLE,000268,15:00,15:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0037,CASELLE-TORINO-CASELLE,000268,16:00,16:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0037,CASELLE-TORINO-CASELLE,000268,19:00,19:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0037,CASELLE-TORINO-CASELLE,000268,20:00,20:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0037,CASELLE-TORINO-CASELLE,000268,21:00,21:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0037,CASELLE-TORINO-CASELLE,000268,22:00,22:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0037,CASELLE-TORINO-CASELLE,000268,23:00,23:45,TO - piazza Carlo Felice - CASELLE Aeroporto
FS100,CORSE F.S. DI PINEROLO,000701,08:19,08:36,PIN - Str. Vecchia di Buriasco-Via Seves - S.Pietro Val Lemina - via Europa fr
