TURNO,NOME_TURNO,LINEA,PARTENZA,ARRIVO,DA
10001,TURNO F.I. DI PINEROLO,000277,06:30,07:19,AIRASCA - stabilimento SKF - TO - Via Napione - Corso Regina Margheri
10001,TURNO F.I. DI PINEROLO,000119,07:24,00:05,TO - Via Napione - Corso Regina Margheri - TO - Via Botticelli-Piazza Rebaudengo
10010,FUORI TURNO FI PEROSA,000284,06:30,07:20,AIRASCA - stabilimento SKF - PEROSA ARG.-Pzza Terzo Alpini
Ba3510,Ba3510,000280,04:50,05:55,BARGE-Viale Mazzini/Cavallotta - AIRASCA - stabilimento SKF
Ba3510,Ba3510,000280,06:30,07:22,AIRASCA - stabilimento SKF - BARGE-Viale Mazzini/Cavallotta
Ba3510,Ba3510,000280,21:00,22:00,BARGE-OSASCO-PINEROLO F.S.-AIRASCA SKF
Ba3510,Ba3510,000280,22:30,23:22,BARGE-OSASCO-PINEROLO F.S.-AIRASCA SKF
Bo3010,TURNO 301 DI Bobbio,000284,04:05,04:46,BOBBIO PELLICE - PINEROLO - stazione FS
Bo3010,TURNO 301 DI Bobbio,000284,04:48,05:32,PINEROLO - stazione FS - TO - Mirafiori c.so Tazzoli
Bo3010,TURNO 301 DI Bobbio,000284,06:10,07:00,TO - Mirafiori c.so Tazzoli - PINEROLO - movicentro
Bo3010,TURNO 301 DI Bobbio,000284,07:02,07:35,PINEROLO - movicentro - BOBBIO PELLICE
Bo3010,TURNO 301 DI Bobbio,000279,07:40,08:00,BOBBIO PELLICE - TORRE PELLICE
Bo3010,TURNO 301 DI Bobbio,000279,08:05,08:19,TORRE PELLICE - BOBBIO PELLICE
Bo3020,TURNO 302 DI BOBBIO,000279,15:30,15:48,TORRE PELLICE - BOBBIO PELLICE
Bo3020,TURNO 302 DI BOBBIO,000279,16:10,16:26,BOBBIO PELLICE - TORRE PELLICE
Bo3020,TURNO 302 DI BOBBIO,000279,16:30,16:46,TORRE PELLICE - BOBBIO PELLICE
Bo3020,TURNO 302 DI BOBBIO,000279,17:21,17:35,BOBBIO PELLICE - TORRE PELLICE
Bo3020,TURNO 302 DI BOBBIO,000279,18:00,18:16,TORRE PELLICE - BOBBIO PELLICE
Bo3020,TURNO 302 DI BOBBIO,000279,18:16,18:32,BOBBIO PELLICE - TORRE PELLICE
Bo3020,TURNO 302 DI BOBBIO,000279,19:11,19:30,BOBBIO PELLICE - TORRE PELLICE
Bo3020,TURNO 302 DI BOBBIO,000279,20:05,20:21,TORRE PELLICE - BOBBIO PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,05:20,05:34,BOBBIO PELLICE - TORRE PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,05:40,06:00,TORRE PELLICE - BOBBIO PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,06:20,06:34,BOBBIO PELLICE - TORRE PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,07:25,07:42,TORRE PELLICE - BOBBIO PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,08:15,08:30,BOBBIO PELLICE - TORRE PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,10:30,10:50,TORRE PELLICE - BOBBIO PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,11:15,11:30,BOBBIO PELLICE - TORRE PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,12:30,12:50,TORRE PELLICE - BOBBIO PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,13:15,13:30,BOBBIO PELLICE - TORRE PELLICE
Bo3030,TURNO 303 DI BOBBIO,000279,13:30,13:49,TORRE PELLICE - BOBBIO PELLICE
Ca0016,CASELLE-TORINO-CASELLE,000268,07:05,07:50,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0016,CASELLE-TORINO-CASELLE,000268,11:00,11:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0016,CASELLE-TORINO-CASELLE,000268,12:00,12:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0016,CASELLE-TORINO-CASELLE,000268,13:00,13:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0016,CASELLE-TORINO-CASELLE,000268,14:00,14:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0016,CASELLE-TORINO-CASELLE,000268,15:00,15:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0026,CASELLE-TORINO-CASELLE,000268,16:00,16:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0026,CASELLE-TORINO-CASELLE,000268,17:00,17:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0026,CASELLE-TORINO-CASELLE,000268,20:00,20:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0026,CASELLE-TORINO-CASELLE,000268,21:00,21:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0026,CASELLE-TORINO-CASELLE,000268,22:00,22:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0026,CASELLE-TORINO-CASELLE,000268,23:30,00:15,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0036,CASELLE-TORINO-CASELLE,000268,06:50,07:35,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0036,CASELLE-TORINO-CASELLE,000268,08:00,08:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0036,CASELLE-TORINO-CASELLE,000268,09:00,09:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0036,CASELLE-TORINO-CASELLE,000268,10:00,10:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0036,CASELLE-TORINO-CASELLE,000268,11:00,11:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0036,CASELLE-TORINO-CASELLE,000268,12:00,12:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0046,CASELLE-TORINO-CASELLE,000268,13:00,13:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0046,CASELLE-TORINO-CASELLE,000268,14:00,14:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0046,CASELLE-TORINO-CASELLE,000268,15:00,15:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0046,CASELLE-TORINO-CASELLE,000268,16:00,16:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0046,CASELLE-TORINO-CASELLE,000268,18:00,18:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0046,CASELLE-TORINO-CASELLE,000268,19:00,19:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0056,CASELLE-TORINO-CASELLE,000268,17:00,17:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0056,CASELLE-TORINO-CASELLE,000268,18:00,18:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0056,CASELLE-TORINO-CASELLE,000268,19:00,19:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0056,CASELLE-TORINO-CASELLE,000268,20:00,20:45,TO - piazza Carlo Felice - CASELLE Aeroporto
Ca0056,CASELLE-TORINO-CASELLE,000268,21:00,21:45,CASELLE Aeroporto - TO - piazza Carlo Felice
Ca0056,CASELLE-TORINO-CASELLE,000268,23:00,23:45,TO - piazza Carlo Felice - CASELLE Aeroporto
FT2710,TORINO-CASELLE-TORINO,000268,04:15,05:00,TO - piazza Carlo Felice - CASELLE Aeroporto
FT2710,TORINO-CASELLE-TORINO,000268,05:10,05:55,CASELLE Aeroporto - TO - piazza Carlo Felice
FT2720,TORINO-CASELLE-TORINO,000268,22:00,22:45,TO - piazza Carlo Felice - CASELLE Aeroporto
