Turno,Deposito (cartellino),Deposito (grafico),Giorni,Data,Tempo Pagato (cartellino),Tempo Pagato (grafico),Sign On (cartellino),Sign Off (cartellino),Inizio (grafico),Fine (grafico),Nastro (cartellino),Esito
Pb001,,Piobesi,,,,7:25,,,05:29,16:43,,MANCANTE NEL CARTELLINO
Pb0010,,Piobesi,,,,6:11,,,06:24,15:06,,MANCANTE NEL CARTELLINO
Pb002,,Piobesi,,,,7:59,,,06:50,19:06,,MANCANTE NEL CARTELLINO
Pb003,,Piobesi,,,,7:28,,,06:39,17:40,,MANCANTE NEL CARTELLINO
Pb004,,Piobesi,,,,7:28,,,04:39,16:31,,MANCANTE NEL CARTELLINO
Pb005,,Piobesi,,,,7:14,,,13:24,00:01,,MANCANTE NEL CARTELLINO
Pb006,,Piobesi,,,,7:07,,,15:16,23:16,,MANCANTE NEL CARTELLINO
Pb007,,Piobesi,,,,6:19,,,07:19,19:35,,MANCANTE NEL CARTELLINO
Pb008,,Piobesi,,,,7:01,,,06:59,18:26,,MANCANTE NEL CARTELLINO
Pb009,,Piobesi,,,,7:12,,,05:49,14:51,,MANCANTE NEL CARTELLINO
Pe0016,,Perosa,Giovedì,28/07/2026,07:51,7:51,,,05:35,17:35,,DATI CARTELLINO INCOMPLETI
Pe0019,,Perosa,,,,7:06,,,06:55,18:30,,MANCANTE NEL CARTELLINO
Pe0020,,Perosa,,,,7:47,,,06:55,16:54,,MANCANTE NEL CARTELLINO
Pi0018,Pinerolo - Deposito,Pinerolo,Giovedì,28/07/2026,05:19,7:20,05:49,14:53,05:45,15:10,9H 4M,DISCREPANZA
Pi0020,,Pinerolo,,,,6:22,,,05:45,15:23,,MANCANTE NEL CARTELLINO
Pi0030,,Pinerolo,,,,5:19,,,05:49,14:53,,MANCANTE NEL CARTELLINO
Pi0150,Pinerolo - Deposito,Pinerolo,Giovedì,28/07/2026,06:56,4:15,06:58,16:55,06:30,10:45,9H 57M,DISCREPANZA
Sta010,"Via Cuneo, 23, 10015 Ivrea TO, Italia",,Giovedì,28/07/2026,04:02,,04:20,08:22,,,4H 2M,MANCANTE NEL GRAFICO
Sta020,"Via Cuneo, 23, 10015 Ivrea TO, Italia",,Giovedì,28/07/2026,06:58,,03:45,12:05,,,8H 20M,MANCANTE NEL GRAFICO
Sta030,"Via Cuneo, 23, 10015 Ivrea TO, Italia",,Giovedì,28/07/2026,07:48,,11:40,20:38,,,8H 58M,MANCANTE NEL GRAFICO
Sta040,"Via Cuneo, 23, 10015 Ivrea TO, Italia",,Giovedì,28/07/2026,08:27,,13:51,00:06,,,10H 15M,MANCANTE NEL GRAFICO
To9260,,Torino,,,,6:15,,,04:55,15:45,,MANCANTE NEL CARTELLINO
