Corsa,Codice corsa,Codice linea,Partenza,Ora partenza,Arrivo,Ora arrivo,Flag spezzata,Turno
28998,5,280,BARGE-Viale Mazzini/Cavallotta,4:45:00,OSASCO - Ponte Chisone,5:15:00,FALSE,Ba3510
28187,12,275,OSASCO - Ponte Chisone,5:15:00,Villar Perosa Stabilimento SKF,5:27:00,FALSE,Ba3510
29775,027A,275,Villar Perosa Stabilimento SKF,6:05:00,Pinerolo Bivio Sede SAPAV,6:34:00,FALSE,Ba3510
29678,2220,281,PINEROLO - stazione FS,6:40:00,CAS - Via Torino  fr 16,7:10:00,FALSE,Ba3510
29109,08B,278,PANCALIERI - via P. Amedeo 62,7:23:00,PINEROLO - Piazza Cavour,8:05:00,FALSE,Ba3510
28103,22017,280,PINEROLO - Fronte Stazione FS,8:45:00,BARGE-Viale Mazzini/Cavallotta,9:15:00,FALSE,Ba3510
29002,155,280,BARGE-Viale Mazzini/Cavallotta,21:00:00,AIRASCA - stabilimento SKF,22:00:00,FALSE,Ba3510
29802,174,280,AIRASCA - stabilimento SKF,22:30:00,BARGE-Viale Mazzini/Cavallotta,23:17:00,FALSE,Ba3510
28999,29,280,BARGE-Viale Mazzini/Cavallotta,6:40:00,OSASCO - Ponte Chisone,7:10:00,FALSE,Ba3520
28188,034C,275,OSASCO - Ponte Chisone,7:10:00,Villar Perosa Stabilimento SKF,7:24:00,FALSE,Ba3520
29267,109B,281,Villar Perosa-Via Nazionale-SP Sestriere,7:45:00,Pinerolo Centro Studi (C.Torino/Rochis),8:10:00,FALSE,Ba3520
29800,81,280,BARGE-Viale Mazzini/Cavallotta,12:55:00,AIRASCA - stabilimento SKF,13:55:00,FALSE,Ba3520
29805,22111,284,AIRASCA - stabilimento SKF,14:30:00,PEROSA ARG.-Pzza Terzo Alpini,15:13:00,FALSE,Ba3520
28065,22037,284,PEROSA ARG.-Pzza Terzo Alpini,15:22:00,PINEROLO - Piazza Cavour,15:47:00,FALSE,Ba3520
28427,196A,275,PINEROLO - Piazza Cavour,16:20:00,VILLAR PEROSA - via Nazionale,16:40:00,FALSE,Ba3520
28107,239G,275,Villar Perosa Stabilimento SKF,17:00:00,OSASCO - Ponte Chisone,17:14:00,FALSE,Ba3520
29006,124,280,OSASCO - Ponte Chisone,17:14:00,BARGE-Viale Mazzini/Cavallotta,17:48:00,FALSE,Ba3520
29799,17,280,BARGE-Viale Mazzini/Cavallotta,5:00:00,AIRASCA - stabilimento SKF,5:55:00,FALSE,Ba3530
28457,2,278,CERCENASCO - v. Reg.Margherita,6:25:00,PINEROLO - Piazza Cavour,7:00:00,FALSE,Ba3530
28088,30001,283,PINEROLO - Piazza Cavour,7:15:00,CANTALUPA,7:45:00,FALSE,Ba3530
28078,30032,283,CANTALUPA,7:50:00,PINEROLO - Piazza Cavour,8:09:00,FALSE,Ba3530
28535,N2,275,PINEROLO - Piazza Cavour,8:10:00,PEROSA ARG.-Pzza Terzo Alpini,8:40:00,FALSE,Ba3530
28505,131FA,275,PEROSA ARG.-Pzza Terzo Alpini,9:40:00,PINEROLO - movicentro,10:12:00,FALSE,Ba3530
28637,131FB,275,PINEROLO - movicentro,10:16:00,Pinerolo Bivio Sede SAPAV,10:23:00,TRUE,Ba3530
29695,134A,281,PINEROLO - Stazione Olimpica,13:30:00,VILLAR PEROSA - via Nazionale,13:50:00,FALSE,Ba3530
28106,185F,275,Villar Perosa Stabilimento SKF,14:15:00,OSASCO - Ponte Chisone,14:26:00,FALSE,Ba3530
29005,86,280,OSASCO - Ponte Chisone,14:26:00,BARGE-Viale Mazzini/Cavallotta,14:56:00,FALSE,Ba3530
29003,51,280,BARGE-Viale Mazzini/Cavallotta,7:10:00,AIRASCA - stabilimento SKF,8:10:00,FALSE,Ba3560
28282,22015,280,AIRASCA - stabilimento SKF,8:15:00,BARGE-Viale Mazzini/Cavallotta,9:00:00,FALSE,Ba3560
29676,21040B,279,PINEROLO Centro Studi,14:20:00,TORRE PELLICE,14:45:00,FALSE,Ba3560
28918,21C,278,PINEROLO - Stazione FS (Via Brignone),15:15:00,VIRLE PIEMONTE - via Carignano,16:05:00,FALSE,Ba3560
29009,144,280,AIRASCA - stabilimento SKF,17:30:00,BARGE-Viale Mazzini/Cavallotta,18:30:00,FALSE,Ba3560
29782,22001A,284,BOBBIO PELLICE,4:05:00,PINEROLO - stazione FS,4:46:00,FALSE,Bo3010
29781,22001B,284,PINEROLO - stazione FS,4:48:00,TO - Mirafiori c.so Tazzoli,5:32:00,FALSE,Bo3010
29603,22076A,284,TO - Mirafiori c.so Tazzoli,6:10:00,PINEROLO - Fronte Stazione FS,7:00:00,FALSE,Bo3010
29602,22076B,284,PINEROLO - Fronte Stazione FS,7:02:00,BOBBIO PELLICE,7:35:00,FALSE,Bo3010
28404,21009,279,BOBBIO PELLICE,7:35:00,Luserna S.Giovanni (Airali),8:00:00,FALSE,Bo3010
28387,21030B,279,TORRE PELLICE,8:05:00,BOBBIO PELLICE,8:19:00,FALSE,Bo3010
28867,22002A,284,BOBBIO PELLICE,12:05:00,PINEROLO - stazione FS,12:49:00,FALSE,Bo3010
28869,22002B,284,PINEROLO - stazione FS,12:51:00,TO - Mirafiori c.so Tazzoli,13:38:00,FALSE,Bo3010
29219,22077A,284,TO - Mirafiori c.so Tazzoli,14:15:00,PINEROLO - Fronte Stazione FS,15:11:00,FALSE,Bo3010
28873,22077B,284,PINEROLO - Fronte Stazione FS,15:13:00,BOBBIO PELLICE,15:49:00,FALSE,Bo3010
28386,21028,279,TORRE PELLICE,6:35:00,BOBBIO PELLICE,6:53:00,FALSE,Bo3020
29110,21005,279,BOBBIO PELLICE,7:00:00,Pinerolo Centro Studi (C.Torino/Rochis),7:51:00,FALSE,Bo3020
29117,22090A,284,PINEROLO - Fronte Stazione FS,8:15:00,TORRE PELLICE,8:46:00,FALSE,Bo3020
28379,21031,279,TORRE PELLICE,8:46:00,BOBBIO PELLICE,9:00:00,FALSE,Bo3020
28868,22003A,284,BOBBIO PELLICE,20:05:00,PINEROLO - stazione FS,20:48:00,FALSE,Bo3020
28870,22003B,284,PINEROLO - stazione FS,20:50:00,TO - Mirafiori c.so Tazzoli,21:40:00,FALSE,Bo3020
29220,22078A,284,TO - Mirafiori c.so Tazzoli,22:15:00,PINEROLO - Fronte Stazione FS,23:05:00,FALSE,Bo3020
28874,22078B,284,PINEROLO - Fronte Stazione FS,23:07:00,BOBBIO PELLICE,23:40:00,FALSE,Bo3020
28371,21002,279,BOBBIO PELLICE,5:40:00,TORRE PELLICE,6:00:00,FALSE,Bo3030
28871,22010A,284,TORRE PELLICE,6:10:00,PINEROLO - movicentro,6:41:00,FALSE,Bo3030
28872,22010B,284,PINEROLO - movicentro,6:43:00,TORINO - Autostazione c.so Bolzano,7:50:00,FALSE,Bo3030
28714,096B,282,TORINO - Autostazione c.so Bolzano,9:33:00,PINEROLO - movicentro,10:44:00,FALSE,Bo3030
29672,21039,279,PINEROLO Centro Studi,13:30:00,BOBBIO PELLICE,14:20:00,FALSE,Bo3030
28372,21020S,279,BOBBIO PELLICE,14:20:00,TORRE PELLICE,14:38:00,FALSE,Bo3030
29185,21043,279,TORRE PELLICE,15:10:00,BOBBIO PELLICE,15:26:00,FALSE,Bo3030
29291,A50,268,CASELLE Aeroporto,14:00:00,TO - piazza Carlo Felice,14:45:00,FALSE,Ca0020
28897,D35,268,TO - piazza Carlo Felice,15:00:00,CASELLE Aeroporto,15:37:00,FALSE,Ca0020
29289,A58,268,CASELLE Aeroporto,16:00:00,TO - piazza Carlo Felice,16:45:00,FALSE,Ca0020
28884,D43,268,TO - piazza Carlo Felice,17:00:00,CASELLE Aeroporto,17:37:00,FALSE,Ca0020
29293,A66,268,CASELLE Aeroporto,18:00:00,TO - piazza Carlo Felice,18:45:00,FALSE,Ca0020
29346,A133,268,TO - piazza Carlo Felice,19:00:00,CASELLE Aeroporto,19:45:00,FALSE,Ca0020
29316,A120,268,CASELLE Aeroporto,6:45:00,TO - piazza Carlo Felice,7:30:00,FALSE,Ca0030
29376,A19,268,TO - piazza Carlo Felice,7:45:00,CASELLE Aeroporto,8:30:00,FALSE,Ca0030
28991,D8,268,CASELLE Aeroporto,8:45:00,TO - piazza Carlo Felice,9:24:00,FALSE,Ca0030
29361,A35,268,TO - piazza Carlo Felice,11:45:00,CASELLE Aeroporto,12:30:00,FALSE,Ca0030
28989,D24,268,CASELLE Aeroporto,12:45:00,TO - piazza Carlo Felice,13:24:00,FALSE,Ca0030
29355,A43,268,TO - piazza Carlo Felice,13:45:00,CASELLE Aeroporto,14:30:00,FALSE,Ca0030
28980,D32,268,CASELLE Aeroporto,14:45:00,TO - piazza Carlo Felice,15:24:00,FALSE,Ca0040
29350,A51,268,TO - piazza Carlo Felice,15:45:00,CASELLE Aeroporto,16:30:00,FALSE,Ca0040
28981,D40,268,CASELLE Aeroporto,16:45:00,TO - piazza Carlo Felice,17:24:00,FALSE,Ca0040
29345,A59,268,TO - piazza Carlo Felice,17:45:00,CASELLE Aeroporto,18:30:00,FALSE,Ca0040
29481,A132,268,CASELLE Aeroporto,19:00:00,TO - piazza Carlo Felice,19:45:00,FALSE,Ca0040
28893,D55,268,TO - piazza Carlo Felice,20:00:00,CASELLE Aeroporto,20:37:00,FALSE,Ca0040
29391,A150,268,CASELLE Aeroporto,7:05:00,TO - piazza Carlo Felice,7:50:00,FALSE,Ca0060
29371,A21,268,TO - piazza Carlo Felice,8:15:00,CASELLE Aeroporto,9:00:00,FALSE,Ca0060
28992,D10,268,CASELLE Aeroporto,9:15:00,TO - piazza Carlo Felice,9:54:00,FALSE,Ca0060
29369,A29,268,TO - piazza Carlo Felice,10:15:00,CASELLE Aeroporto,11:00:00,FALSE,Ca0060
28987,D18,268,CASELLE Aeroporto,11:15:00,TO - piazza Carlo Felice,11:54:00,FALSE,Ca0060
29359,A45,268,TO - piazza Carlo Felice,14:15:00,CASELLE Aeroporto,15:00:00,FALSE,Ca0060
28984,D42,268,CASELLE Aeroporto,17:15:00,TO - piazza Carlo Felice,17:54:00,FALSE,Ca0070
29348,A61,268,TO - piazza Carlo Felice,18:15:00,CASELLE Aeroporto,19:00:00,FALSE,Ca0070
29497,D50,268,CASELLE Aeroporto,19:20:00,TO - piazza Carlo Felice,19:59:00,FALSE,Ca0070
29502,A83,268,TO - piazza Carlo Felice,20:30:00,CASELLE Aeroporto,21:15:00,FALSE,Ca0070
29484,A138,268,CASELLE Aeroporto,22:30:00,TO - piazza Carlo Felice,23:15:00,FALSE,Ca0070
29373,A137,268,TO - piazza Carlo Felice,23:30:00,CASELLE Aeroporto,31/12/1899 00.15.00,FALSE,Ca0070
29324,P1,268,CASELLE T.SE- str.Aeroporto 23,7:38:00,TO - piazza Carlo Felice,8:20:00,FALSE,Ca0080
29372,A23,268,TO - piazza Carlo Felice,8:45:00,CASELLE Aeroporto,9:30:00,FALSE,Ca0080
28995,D12,268,CASELLE Aeroporto,9:45:00,TO - piazza Carlo Felice,10:24:00,FALSE,Ca0080
29362,A31,268,TO - piazza Carlo Felice,10:45:00,CASELLE Aeroporto,11:30:00,FALSE,Ca0080
28985,D20,268,CASELLE Aeroporto,11:45:00,TO - piazza Carlo Felice,12:24:00,FALSE,Ca0080
29356,A39,268,TO - piazza Carlo Felice,12:45:00,CASELLE Aeroporto,13:30:00,FALSE,Ca0080
28990,D34,268,CASELLE Aeroporto,15:15:00,TO - piazza Carlo Felice,15:54:00,FALSE,Ca0090
28894,D41,268,TO - piazza Carlo Felice,16:30:00,CASELLE Aeroporto,17:07:00,FALSE,Ca0090
28978,D48,268,CASELLE Aeroporto,18:45:00,TO - piazza Carlo Felice,19:24:00,FALSE,Ca0090
29478,A145,268,TO - piazza Carlo Felice,19:40:00,CASELLE Aeroporto,20:25:00,FALSE,Ca0090
29495,D58,268,CASELLE Aeroporto,21:00:00,TO - piazza Carlo Felice,21:39:00,FALSE,Ca0090
28914,D63,268,TO - piazza Carlo Felice,22:00:00,CASELLE Aeroporto,22:37:00,FALSE,Ca0090
28466,2735,267,CANDIOLO - Via Pinerolo 61/B,7:18:00,CARIGNANO-P.zza Donatori Avis,7:55:00,FALSE,FT010S
29077,2659,267,PIOBESI T.SE-v.Torino 41-Capol,6:59:00,TO - Via De Cristoforis (Capolinea),7:54:00,FALSE,FT100S
